CODIGO;CIDADE;UF;JANEIRO;FEVEREIRO;MARÇO;ABRIL;MAIO;JUNHO;JULHO;AGOSTO;SETEMBRO;OUTUBRO;NOVEMBRO;DEZEMBRO;ANO
82915;RIO BRANCO;AC;286.1;298.9;285.6;204.3;98.7;44.8;28.2;57.0;93.6;144.0;208.8;260.6;2010.6
83995;RIO GRANDE;RS;97.3;128.7;120.0;125.8;112.0;120.2;121.9;114.8;110.8;106.2;94.0;89.8;1341.5
83441;SALINAS;MG;112.2;92.6;120.9;43.2;16.3;3.9;4.7;2.7;12.2;62.1;176.8;175.8;823.4
83229;SALVADOR (ONDINA);BA;76.9;98.7;147.3;284.9;302.2;237.6;194.1;129.7;99.3;91.0;108.2;63.4;1833.3
83936;SANTA MARIA;RS;166.1;131.7;142.0;151.1;136.6;132.7;147.3;114.4;155.3;203.2;136.0;161.5;1777.9
83696;SANTA MARIA MADALENA;RJ;221.9;122.6;-;90.2;60.0;42.4;41.5;42.5;74.6;97.7;214.1;247.6;-
83997;SANTA VITORIA DO PALMAR;RS;81.4;128.0;116.4;123.3;119.2;113.1;112.7;108.2;97.0;102.4;70.0;91.5;1263.2
83805;SANTO ANTONIO DE PADUA;RJ;191.0;109.7;121.1;59.0;40.5;19.7;-;22.6;55.7;92.1;194.7;251.3;-
83726;SAO CARLOS;SP;297.2;216.6;174.9;79.3;59.9;38.2;30.0;22.5;65.4;116.2;158.9;233.2;1492.3
82106;SAO GABRIEL DA CACHOEIRA(UAUPES);AM;282.5;251.3;283.6;302.2;358.2;278.8;250.2;202.1;171.2;182.5;226.6;258.3;3047.5
82879;SAO JOAO DO PIAUI;PI;122.5;129.0;122.0;70.5;23.8;1.5;0.8;0.1;1.4;23.0;68.6;85.8;649.0
83920;SAO JOAQUIM;SC;185.4;180.7;126.6;110.9;134.8;137.3;166.5;137.2;181.3;198.9;146.8;151.5;1857.9
83736;SAO LOURENCO;MG;319.2;187.0;164.4;72.2;57.5;27.7;24.2;20.4;73.2;119.5;174.3;254.6;1494.2
82280;SAO LUIS;MA;235.4;308.0;452.8;431.4;312.0;174.3;110.8;22.5;2.9;2.8;9.7;54.5;2117.1
83907;SAO LUIZ GONZAGA;RS;170.6;158.4;156.4;194.3;168.6;132.7;124.1;104.6;146.6;264.4;169.7;199.0;1989.4
83550;SAO MATEUS;ES;124.1;89.4;147.0;115.1;72.3;63.5;75.0;61.7;66.9;119.0;230.4;176.6;1341.0
83781;SAO PAULO(MIR.de SANTANA);SP;292.1;257.7;229.1;87.0;66.3;59.7;48.4;32.3;83.3;127.2;143.9;231.3;1658.3
83669;SAO SIMAO;SP;281.5;197.4;145.8;56.4;55.0;28.0;15.3;19.5;61.0;114.6;172.0;228.2;1374.7
82690;SERIDO (CAICO);RN;-;-;141.3;160.3;72.6;23.5;14.4;5.6;1.0;6.0;6.2;19.6;-
83190;SERRINHA;BA;81.4;56.1;70.8;63.7;71.6;90.2;69.4;53.1;38.9;33.7;57.5;55.9;742.3
83586;SETE LAGOAS;MG;268.7;147.5;168.6;57.4;25.0;6.7;6.7;8.6;41.7;82.8;-;323.0;-
82392;SOBRAL;CE;123.7;161.8;220.1;206.3;93.2;30.1;17.4;3.9;0.4;2.0;5.5;23.2;887.6
82141;SOURE;PA;391.5;491.9;619.8;509.6;298.1;180.7;124.8;77.7;13.3;14.5;22.6;112.4;2856.9
